Author	n (strains)	publication title	journal	publication URL	strains
Dr. Varsha Potdar et al	37	unknown	unknown	unknown	hCoV-19/India/MP-ICMR-NIV-INSACOG-SEQ-3717/2020,hCoV-19/India/HR-ICMR-NIV-INSACOG-SEQ-366/2020,hCoV-19/India/GJ-ICMR-NIV-INSACOG-GSEQ-6523/2021,hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-6350/2021,hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-6465/2021,hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-9045/2022,hCoV-19/India/GA-ICMR-NIV-INSACOG-GSEQ-10143/2022,hCoV-19/India/MH-ICMR-NIV-INSACOG-NIVCOV2216576/2022,hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-11325/2022,hCoV-19/India/MH-ICMR-NIV-G-16198/2024,hCoV-19/India/MH-ICMR-NIV-G-15941/2024,hCoV-19/India/MH-ICMR-NIV-G-16204/2024,hCoV-19/India/MH-ICMR-NIV-G-16022/2024,hCoV-19/India/MH-ICMR-NIV-242631/2024,hCoV-19/India/MH-ICMR-NIV-1897/2024,hCoV-19/India/MH-ICMR-NIV-242638/2024,hCoV-19/India/GA-ICMR-NIV-INSACOG-GSEQ-12403/2022,hCoV-19/India/MH-ICMR-NIV-G-14498/2023,hCoV-19/India/MH-ICMR-NIV-G-14716/2023,hCoV-19/India/MH-ICMR-NIV-G-14709/2023,hCoV-19/India/MH-ICMR-NIV-G-14567/2023,hCoV-19/India/MH-ICMR-NIV-G-14708/2023,hCoV-19/India/MH-ICMR-NIV-G-14651/2023,hCoV-19/India/MH-ICMR-NIV-G-14696/2023,hCoV-19/India/KA-ICMR-NIV-G-14582/2023,hCoV-19/India/WB-ICMR-NIV-G-14619/2023,hCoV-19/India/MH-ICMR-NIV-G-14644/2023,hCoV-19/India/SK-ICMR-NIV-G-14593/2023,hCoV-19/India/MH-ICMR-NIV-2205/2023,hCoV-19/India/KA-ICMR-NIV-G-14587/2023,hCoV-19/India/MH-ICMR-NIV-G-14636/2023,hCoV-19/India/MH-ICMR-NIV-G-14445/2023,hCoV-19/India/MH-ICMR-NIV-2925/2023,hCoV-19/India/MH-ICMR-NIV-234374/2023,hCoV-19/India/MH-ICMR-NIV-G-14720/2023,hCoV-19/India/AS-ICMR-NIV-G-14610/2023,hCoV-19/India/MH-ICMR-NIV-G-14676/2023
Mohd Noor Mat Isa et al	2	unknown	unknown	unknown	hCoV-19/Malaysia/MGI-M76/2020,hCoV-19/Malaysia/MGI_HCTM-UBM10/2021
Kanika Bansal et al	1	unknown	unknown	unknown	hCoV-19/India/PB-IMT-I8/2020
Myat Htut Nyunt et al	15	unknown	unknown	unknown	hCoV-19/Myanmar/MMC_137/2020,hCoV-19/Myanmar/DMR_24037/2024,hCoV-19/Myanmar/DMR_24018/2023,hCoV-19/Myanmar/DMR_24025/2024,hCoV-19/Myanmar/DMR_24042/2024,hCoV-19/Myanmar/DMR_24031/2024,hCoV-19/Myanmar/DMR-22113/2023,hCoV-19/Myanmar/DMR_164/2023,hCoV-19/Myanmar/DMR_189/2023,hCoV-19/Myanmar/DMR-22109/2022,hCoV-19/Myanmar/DMR_144/2023,hCoV-19/Myanmar/DMR_151/2023,hCoV-19/Myanmar/DMR_182/2023,hCoV-19/Myanmar/DMR_126/2023,hCoV-19/Myanmar/DMR_24001/2023
Sakshi Shambhavi et al	1	A distinct phylogenetic cluster of Indian SARS-CoV-2 isolates	unknown	https://dx.doi.org/10.1101/2020.05.31.126136	hCoV-19/India/TG-CCMB-J375/2020
Ekta Gupta et al	15	unknown	unknown	unknown	hCoV-19/India/DL-ILBS-279M/2020,hCoV-19/India/DL-ILBS-21047/2020,hCoV-19/India/DL-ILBS-20963/2020,hCoV-19/India/DL-ILBS-111179/2021,hCoV-19/India/DL-ILBS-108197/2021,hCoV-19/India/DL-ILBS-107966/2021,hCoV-19/India/DL-ILBS-WGS7515/2023,hCoV-19/India/DL-ILBS-WGS5028/2022,hCoV-19/India/DL-ILBS-WGS4456/2022,hCoV-19/India/DL-ILBS-WGS4872/2022,hCoV-19/India/DL-ILBSWGS5808/2022,hCoV-19/India/DL-ILBS7336/2022,hCoV-19/India/DL-ILBS-7637/2023,hCoV-19/India/DL-ILBS-7907/2023,hCoV-19/India/DL-ILBS-WGS7522/2023
Tze Minn Mak et al	1	unknown	unknown	unknown	hCoV-19/PapuaNewGuinea/11/2020
Monica Galiano et al	1	Preliminary analysis of SARS-CoV-2 importation & establishment of UK transmission lineages	unknown	https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507	hCoV-19/England/01/2020
Chu et al	1	Cryptic transmission of SARS-CoV-2 in Washington State	unknown	https://doi.dx.org/10.1101/2020.04.02.20051417	hCoV-19/USA/WA-S3/2020
Drew MacKellar et al	2	unknown	unknown	unknown	hCoV-19/USA/WA-PHL-028168/2020,hCoV-19/USA/WA-PHL-000144/2021
Anna-Maria Franco-Yusti et al	2	unknown	unknown	unknown	hCoV-19/BurkinaFaso/CHUSS_1032/2020,hCoV-19/BurkinaFaso/CHUSS_16063/2022
Abdoul-Salam Ouedraogo et al	1	unknown	unknown	unknown	hCoV-19/BurkinaFaso/2-037-1654/2020
Chantal Akoua-Koffi et al	7	unknown	unknown	unknown	hCoV-19/Coted-Ivoire/BKE0382/2020,hCoV-19/Coted-Ivoire/COV-BKE1145/bc61/2020,hCoV-19/Coted-Ivoire/BKE0994/2020,hCoV-19/Coted-Ivoire/COV-BKE3833-bc88/2021,hCoV-19/Coted-Ivoire/COV-BKE3366-bc62/2021,hCoV-19/Coted-Ivoire/BKE0891/2020,hCoV-19/Coted-Ivoire/COV-BKE2110/bc63/2021
Gao et al	2	unknown	unknown	unknown	hCoV-19/Zhejiang/OS2/2020,hCoV-19/Anhui/BZCDC-381/2024
Darío García de Viedma et al	1	unknown	unknown	unknown	hCoV-19/Spain/MD-IBV-99009631/2020
Alexandr Shevtsov et al	1	unknown	unknown	unknown	hCoV-19/Kazakhstan/34391/2020
Claudia Gonzalez et al	3	unknown	unknown	unknown	hCoV-19/Panama/GMI-PAFQ020/2021,hCoV-19/Panama/GMI-PASEQ328/2021,hCoV-19/Panama/M268115-GMI/2022
Gonzalez Claudia et al	1	unknown	unknown	unknown	hCoV-19/Panama/GMI-PACZ1588/2021
Xiaolin Jiang et al	3	unknown	unknown	unknown	hCoV-19/Shandong/2020C1240116/2020,hCoV-19/Shandong/2020C1240145/2020,hCoV-19/Shandong/2020C1240537/2020
Elizabeth Batty et al	4	unknown	unknown	unknown	hCoV-19/Thailand/Bangkok-CONI-0293/2020,hCoV-19/Thailand/PathumThani-CONI-0527/2021,hCoV-19/Thailand/Narathiwat-CONI-0616/2021,hCoV-19/Thailand/Bangkok-CONI-0097/2020
Li et al	20	unknown	unknown	unknown	hCoV-19/Cambodia/Kunming_kms-2/2020,hCoV-19/Guangdong/5371/2021,hCoV-19/Guangdong/6464/2021,hCoV-19/Guangdong/6179/2021,hCoV-19/Guangdong/6171/2021,hCoV-19/Guangdong/5571/2021,hCoV-19/Guangdong/6341/2021,hCoV-19/Guangdong/6208/2021,hCoV-19/Guangdong/5847/2021,hCoV-19/Guangdong/5648/2021,hCoV-19/Guangdong/5851/2021,hCoV-19/Guangdong/6047/2021,hCoV-19/Guangdong/6167/2021,hCoV-19/Guangdong/6241/2021,hCoV-19/Gansu/GSCDC-0089/2023,hCoV-19/Anhui/AQCDC-079/2024,hCoV-19/Gansu/GSCDC-0519/2023,hCoV-19/Gansu/GSCDC-0694/2023,hCoV-19/Gansu/GSCDC-0732/2023,hCoV-19/Gansu/GSCDC-0876/2023
Sumonmal Uttayamakul et al	4	unknown	unknown	unknown	hCoV-19/Thailand/BIDI-63015581__2019/2020,hCoV-19/Thailand/BIDI-63039985__2019/2020,hCoV-19/Thailand/NIH-16-1083-1-02/2022,hCoV-19/Thailand/NIH-09-2087-6-02/2022
Guanglin Cui et al	1	unknown	unknown	unknown	hCoV-19/Henan/fahzu0019/2020
Elham Rizgalla et al	3	unknown	unknown	unknown	hCoV-19/Sudan/N6773/2020,hCoV-19/Sudan/N6669/2020,hCoV-19/Sudan/N6695/2021
Diarra et al	1	unknown	unknown	unknown	hCoV-19/Mali/UCRC-31/2020
Aladje Balde et al	1	unknown	unknown	unknown	hCoV-19/GuineaBissau/52LNSPGB/2020
Philippe Selhorst et al	2	unknown	unknown	unknown	hCoV-19/Belgium/ITM_C2183/2020,hCoV-19/Belgium/ITM_C406/2020
Mounerou SALOU et al	1	unknown	unknown	unknown	hCoV-19/Togo/BMC-98-20/2020
Olawoye et al	12	unknown	unknown	unknown	hCoV-19/Somalia/CV1159/2020,hCoV-19/Somalia/CV1175/2020,hCoV-19/Nigeria/CV672/2020,hCoV-19/BurkinaFaso/CV1781/2021,hCoV-19/BurkinaFaso/CV1893/2021,hCoV-19/Somalia/CV1238/2020,hCoV-19/BurkinaFaso/CV1773/2020,hCoV-19/Nigeria/CV3595/2021,hCoV-19/Nigeria/CV2355/2021,hCoV-19/Nigeria/CV3442/2021,hCoV-19/Nigeria/CV748/2021,hCoV-19/Somalia/CV1232/2020
Matthew Cotten et al	3	unknown	unknown	unknown	hCoV-19/Uganda/UG150/2020,hCoV-19/Uganda/UG073/2020,hCoV-19/Uganda/UG134/2020
Samuel O. Oyola et al	14	unknown	unknown	unknown	hCoV-19/DRC/ILRI_COVM00373/2020,hCoV-19/DRC/ILRI_COVM00361/2020,hCoV-19/DRC/ILRI_COVM00345/2020,hCoV-19/DRC/ILRI_COVM01614/2021,hCoV-19/DRC/ILRI_COVM00359/2020,hCoV-19/Sudan/ILRI_M03093/2021,hCoV-19/DRC/ILRI_COVM02206/2021,hCoV-19/DRC/ILRI_COVM01427/2021,hCoV-19/Sudan/ILRI_M03086/2021,hCoV-19/Sudan/ILRI_M03038/2021,hCoV-19/Kenya/ILRI_COVM01631/2021,hCoV-19/Angola/ILRI_COVM03632/2021,hCoV-19/Kenya/ILRI-M04385/2022,hCoV-19/Sudan/ILRI_M03089/2022
Dan Lule Bugembe et al	1	Main Routes of Entry and Genomic Diversity of SARS-CoV-2, Uganda	unknown	https://dx.doi.org/10.3201/eid2610.202575	hCoV-19/Uganda/UG017/2020
Placide Mbala-Kingebeni et al A	36	unknown	unknown	unknown	hCoV-19/DRC/04186/2020,hCoV-19/Cameroon/CAM-202/2021,hCoV-19/Cameroon/CAM-304/2021,hCoV-19/Chad/TCH-31/2021,hCoV-19/DRC/INRB-RDC-1401b/2021,hCoV-19/Chad/TCH-23/2021,hCoV-19/DRC/INRB-DRC-0545/2021,hCoV-19/DRC/INRB-RDC-1160/2021,hCoV-19/DRC/INRB-RDC-1340/2021,hCoV-19/Chad/TCH-29/2021,hCoV-19/Chad/TCH-30/2021,hCoV-19/DRC/INRB-RDC-680/2021,hCoV-19/Chad/TCH-34/2021,hCoV-19/DRC/867/2021,hCoV-19/Cameroon/CAM-102/2021,hCoV-19/DRC/INRB-RDC-793/2021,hCoV-19/DRC/INRB-RDC-939/2022,hCoV-19/DRC/GOM-036/2022,hCoV-19/DRC/INRB-RDC-690/2022,hCoV-19/DRC/INRB-RDC-1352/2022,hCoV-19/DRC/INRB-RDC-1356/2022,hCoV-19/DRC/INRB-RDC-923/2022,hCoV-19/DRC/INRB-RDC-0124/2022,hCoV-19/DRC/INRB-RDC-776/2022,hCoV-19/DRC/INRB-RDC-952/2022,hCoV-19/DRC/INRB-RDC-968/2022,hCoV-19/DRC/INRB-RDC-1082/2022,hCoV-19/DRC/INRB-RDC-1106/2022,hCoV-19/DRC/INRB-RDC-761/2022,hCoV-19/DRC/INRB-DRC-007/2023,hCoV-19/DRC/INRB-DRC-006/2023,hCoV-19/DRC/INRB-DRC-0566/2023,hCoV-19/DRC/INRB-RDC-0102/2022,hCoV-19/DRC/INRB-DRC-0567/2023,hCoV-19/DRC/INRB-DRC-0568/2023,hCoV-19/DRC/INRB-DRC-0562/2023
Joseph Francis Wamala et al	3	unknown	unknown	unknown	hCoV-19/SouthSudan/UG578/2020,hCoV-19/SouthSudan/UG566/2021,hCoV-19/SouthSudan/UG714/2021
Githinji G. et al	11	unknown	unknown	unknown	hCoV-19/Sudan/SS1708/2020,hCoV-19/Kenya/C57639/2020,hCoV-19/Kenya/C68764/2020,hCoV-19/Kenya/C48254/2020,hCoV-19/Sudan/SS1662/2021,hCoV-19/Kenya/C99548/2021,hCoV-19/Sudan/SS5887/2022,hCoV-19/Kenya/SS6907/2022,hCoV-19/Kenya/SS11163/2022,hCoV-19/Kenya/SS10291/2022,hCoV-19/Kenya/SS11912/2023
Hatem et al	5	unknown	unknown	unknown	hCoV-19/Egypt/CCHE57357-A-89/2020,hCoV-19/Egypt/CCHE57357-P-22/2020,hCoV-19/Egypt/CCHE57357_Wave_4_075/2021,hCoV-19/Egypt/CCHE57357_Wave_4_116/2021,hCoV-19/Egypt/CCHE57357_Wave_3_A024/2021
Ulrike Protzer et al	1	unknown	unknown	unknown	hCoV-19/Germany/BAV-PL-virotum-nacq/2020
